	tt	loss	loss_rec	entropy_marginal	entropy_mean	loss_affine
304	3049	-0.243	0.012	2.607	0.144	0.024
305	3059	-0.243	0.013	2.605	0.146	0.023
306	3069	-0.243	0.013	2.607	0.148	0.024
307	3079	-0.243	0.013	2.606	0.146	0.024
308	3089	-0.243	0.012	2.608	0.144	0.023
309	3099	-0.243	0.012	2.607	0.144	0.023
310	3109	-0.243	0.012	2.606	0.145	0.025
311	3119	-0.243	0.012	2.608	0.144	0.025
312	3129	-0.243	0.013	2.606	0.142	0.024
313	3139	-0.243	0.013	2.606	0.146	0.024
314	3149	-0.243	0.012	2.605	0.142	0.025
315	3159	-0.243	0.012	2.608	0.141	0.023
316	3169	-0.243	0.012	2.604	0.143	0.023
317	3179	-0.243	0.012	2.606	0.142	0.024
318	3189	-0.243	0.012	2.607	0.14	0.024
319	3199	-0.243	0.012	2.609	0.143	0.023
320	3209	-0.243	0.012	2.608	0.138	0.024
321	3219	-0.243	0.012	2.608	0.139	0.025
322	3229	-0.243	0.012	2.606	0.139	0.024
323	3239	-0.243	0.012	2.605	0.14	0.024
324	3249	-0.243	0.012	2.605	0.138	0.025
325	3259	-0.244	0.012	2.608	0.136	0.023
326	3269	-0.243	0.012	2.605	0.141	0.025
327	3279	-0.243	0.012	2.607	0.136	0.025
328	3289	-0.244	0.012	2.608	0.135	0.024
329	3299	-0.243	0.012	2.606	0.139	0.025
330	3309	-0.243	0.012	2.608	0.138	0.025
331	3319	-0.243	0.012	2.606	0.136	0.026
332	3329	-0.243	0.012	2.604	0.136	0.024
333	3339	-0.244	0.012	2.608	0.135	0.023
334	3349	-0.243	0.012	2.606	0.135	0.025
335	3359	-0.243	0.012	2.607	0.135	0.025
336	3369	-0.243	0.012	2.606	0.136	0.025
337	3379	-0.244	0.012	2.608	0.132	0.025
338	3389	-0.244	0.012	2.608	0.131	0.022
339	3399	-0.243	0.012	2.606	0.136	0.025
340	3409	-0.244	0.012	2.608	0.135	0.026
341	3419	-0.244	0.012	2.607	0.133	0.025
342	3429	-0.244	0.012	2.606	0.133	0.023
343	3439	-0.244	0.012	2.607	0.131	0.026
344	3449	-0.244	0.012	2.606	0.132	0.025
345	3459	-0.243	0.012	2.606	0.134	0.026
346	3469	-0.244	0.012	2.607	0.13	0.025
347	3479	-0.244	0.012	2.609	0.13	0.025
348	3489	-0.244	0.012	2.608	0.132	0.025
349	3499	-0.244	0.012	2.606	0.129	0.025
350	3509	-0.244	0.012	2.606	0.13	0.025
351	3519	-0.244	0.012	2.607	0.131	0.025
352	3529	-0.244	0.012	2.607	0.131	0.026
353	3539	-0.244	0.012	2.608	0.128	0.025
354	3549	-0.244	0.012	2.607	0.129	0.025
355	3559	-0.244	0.012	2.606	0.129	0.023
356	3569	-0.244	0.012	2.607	0.126	0.025
357	3579	-0.244	0.012	2.608	0.129	0.024
358	3589	-0.244	0.012	2.607	0.128	0.025
359	3599	-0.244	0.012	2.608	0.128	0.024
360	3609	-0.244	0.012	2.608	0.127	0.025
361	3619	-0.244	0.012	2.606	0.126	0.025
362	3629	-0.244	0.012	2.608	0.125	0.025
363	3639	-0.244	0.012	2.607	0.125	0.024
364	3649	-0.244	0.012	2.608	0.128	0.026
365	3659	-0.244	0.012	2.607	0.124	0.025
366	3669	-0.244	0.012	2.606	0.124	0.024
367	3679	-0.244	0.012	2.607	0.125	0.026
368	3689	-0.244	0.012	2.607	0.122	0.024
369	3699	-0.244	0.012	2.607	0.124	0.025
370	3709	-0.244	0.012	2.609	0.124	0.023
371	3719	-0.244	0.012	2.606	0.125	0.025
372	3729	-0.244	0.012	2.606	0.123	0.025
373	3739	-0.244	0.012	2.608	0.122	0.024
374	3749	-0.244	0.012	2.607	0.123	0.025
375	3759	-0.244	0.012	2.608	0.124	0.024
376	3769	-0.244	0.012	2.608	0.122	0.024
377	3779	-0.244	0.012	2.609	0.119	0.023
378	3789	-0.244	0.012	2.608	0.123	0.025
379	3799	-0.244	0.012	2.608	0.124	0.024
380	3809	-0.244	0.012	2.605	0.124	0.025
381	3819	-0.244	0.012	2.604	0.12	0.025
382	3829	-0.244	0.012	2.607	0.122	0.025
383	3839	-0.244	0.012	2.607	0.121	0.025
384	3849	-0.244	0.012	2.608	0.123	0.023
385	3859	-0.244	0.012	2.607	0.119	0.026
386	3869	-0.244	0.012	2.608	0.122	0.025
387	3879	-0.244	0.012	2.608	0.119	0.025
388	3889	-0.244	0.012	2.607	0.118	0.024
389	3899	-0.244	0.012	2.607	0.119	0.024
390	3909	-0.244	0.012	2.606	0.119	0.025
391	3919	-0.244	0.012	2.606	0.121	0.026
392	3929	-0.244	0.012	2.606	0.12	0.025
393	3939	-0.244	0.012	2.607	0.12	0.024
394	3949	-0.244	0.012	2.606	0.116	0.024
395	3959	-0.244	0.012	2.606	0.117	0.023
396	3969	-0.244	0.012	2.608	0.119	0.025
397	3979	-0.244	0.012	2.607	0.115	0.024
398	3989	-0.244	0.012	2.606	0.117	0.024
399	3999	-0.244	0.012	2.608	0.116	0.024
